SPEAKER_00:  Harry trades the same way he approaches life. Customize, don't compromise. Which is precisely why he uses the TD Active Trader platform. Because in a world of customizations, nothing compares to the deep customization capabilities of the TD Active Trader platform, where even custom customizations are, well, customized. Everything you need to live, breathe, trade. Visit td.com slash active trader to learn more. TD, ready for you.
SPEAKER_12:  Hey there, Critter Podcast listeners. We have a special new membership service at beacon.tv, where you can get early access to all new podcast episodes, including Critical Role for the first time ever. Beacon members also get things like live event presales, merch discounts, access to a private community discord, and new exclusive series like Critical Role Cool Down. Think of it as our digital Critical Role land.
SPEAKER_12:  Head on over to Beacon.tv to check it out for yourself and start a 7-day free trial.
SPEAKER_12:  Thank you so much for your support for being a pod-cast listener and for being a part of our community.
SPEAKER_08:  Hey there critters! We are so excited to share with you our brand new podcast from the world of Exandria.
SPEAKER_08:  the reslayers take.
SPEAKER_08:  In this audio adventure, you'll be guided through the wild continent of a Silra.
SPEAKER_08:  home to some of the most dangerous creatures.
SPEAKER_08:  Here, the slayers take is the most notorious monster hunting group in the realm.
SPEAKER_08:  But.
SPEAKER_08:  When previously slain creatures start returning from the grave, it's up to six misfit mercenaries to band together and reslade these supern-
SPEAKER_09:  natural threats as the reslayers take.
SPEAKER_09:  So come follow along, these audio-esque opinions. As the second coolest monster hunters, this side of Exandria battle a growing undead army of dangerous creatures.
SPEAKER_09:  The party is led by a duo of game masters, George Pimavera and Nick Williams, with the main cast including Jasmine Buehler, Caroline Luxe and Jasmine Sheeong.
SPEAKER_09:  Listen to new episodes every Monday, anywhere you stream podcasts. Or, become a beacon member and listen to the podcast two weeks early and uninterrupted by ads.
SPEAKER_07:  Hello Critters, Marcia Ray here to welcome you to the hallowed audio halls of the critical role podcast on network.
SPEAKER_07:  Critical Role airs on Thursdays at 7 p.m. Pacific on twitch.tv slash critical role and youtube.com slash critical role and twitch subscribers can view the episode on demand immediately after it airs or you can enjoy the VOD on YouTube the following Monday and For you loyal podcast listeners the show transmutes into its audio only format Thursdays one week after the initial broadcast
SPEAKER_07:  Without further ado, let's see what sort of fun scary adventures await.
SPEAKER_09:  Hello everyone and welcome to this nice episode of Critical Role where a bunch of us nerdy ass voice actress sit around and play Dungeons and Dragons
SPEAKER_09:  Okay, I guess people are ready to go.
SPEAKER_09:  Hey Laura, you guys made us a mess.
SPEAKER_03:  That was my announcement. Thank you.
SPEAKER_03:  I'm a feeding of cremeas. Did we dig a bit? I don't know.
SPEAKER_09:  that would actually be
SPEAKER_09:  Okay now.
SPEAKER_03:  Our annual cream facility is happening right now! Oh! Hey! In all of our crib roll online shops through December 9th.
SPEAKER_03:  Get awesome, dude! All of the peril! Okay, I'm accessories. It's talking stuffers for all your holiday shopping, or even for your own wish list. And while you're shopping, don't forget to check, oh, don't forget to check out our new cozy merch like this! Lavish, shatrol!
SPEAKER_04:  That's so good.
SPEAKER_04:  Oh, bathroom. Okay, it's so soft. It's so soft. Look.
SPEAKER_03:  Get them.
SPEAKER_04:  Look at this, I want to put a stick on that.
SPEAKER_07:  I just want to just click on hotel.
SPEAKER_03:  It's a HOOD commitment rather than young dad. I hit fly exactly what you say. Fun fact. Aren't we here? My Jordian, Hurreon.
SPEAKER_04:  It's a hydraulic room for rolling round down. Area is driving.
SPEAKER_05:  Bye!
SPEAKER_04:  Jordan Torrance. Oh my goodness. It's, it's.
SPEAKER_05:  All right patient.
SPEAKER_03:  It's right there.
SPEAKER_03:  It's so great. You can just live out your lavish atot dreams. It says the lavish atot in an entertainment Nicka Dronis ex-Dandria.
SPEAKER_05:  It's so great! You can just give out your leather shirt!
SPEAKER_03:  We're not showing it, but we also have pajamas that matched the bathroom. So go check it out! This is so easy. Oh my god, there's so many things I get to say today. Plus, it's a fantasy come true.
SPEAKER_05:  Oh my god.
SPEAKER_03:  On July 21st, 2025, you'll finally be able to read.
SPEAKER_03:  Husker
SPEAKER_05:  Contact me.
SPEAKER_03:  Who is just being published by our friends at Penguin Random House and print digital and audio formats? Oh my gosh, who's gonna read this?
SPEAKER_05:  You mean that good? I might not be one of them. No!
SPEAKER_10:  Thank you. My God.
SPEAKER_03:  No.
SPEAKER_03:  No!
SPEAKER_05:  It's Steve!
SPEAKER_03:  This steamy novel is written by Thea Gwanzan and the cover's illustrated by Arian Makuo. And...
SPEAKER_03:  I'm very excited about it. Learn more and pre-order your copy at www.evaderolebooks.com That better be smutty.
SPEAKER_09:  Smug alert!
SPEAKER_05:  Oh, it is. It is.
SPEAKER_09:  It is...
SPEAKER_09:  It is the scariest.
SPEAKER_03:  Rio Wars?
SPEAKER_05:  It's got pocket.
SPEAKER_09:  Example of manifestation.
SPEAKER_09:  You did.
SPEAKER_12:  this should
SPEAKER_05:  It sounds comfortable.
SPEAKER_12:  as it should be.
SPEAKER_05:  as it is.
SPEAKER_05:  one.
SPEAKER_12:  We're not making enough smut if I'm being honest. I concur with you. Yeah, no, here, here.
SPEAKER_04:  Ah there.
SPEAKER_04:  I can't occur with you.
SPEAKER_04:  as a smart lover agreed to be long.
SPEAKER_09:  2025 make more smut You got some announcements
SPEAKER_04:  Smudge.
SPEAKER_07:  You guys!
SPEAKER_09:  mode...
SPEAKER_07:  Smite.
SPEAKER_07:  You might be able to see something's muddy. I want our life shows!
SPEAKER_07:  And our tickets are on sale right now for all five of our 10 year anniversary live shows. We're going to be back in Chicago in April, then Sydney and Melbourne, in June, in the Annapolis once again in August, and then round in out the year in New York City in October for Ford and Jesuits wedding, which will surely be a smutty time. It will be so smutty in its way.
SPEAKER_05:  Take a turn.
SPEAKER_10:  It would be so suuuu
SPEAKER_10:  CPU just went.
SPEAKER_07:  I know! Seriously, what are we gonna do if we die?
SPEAKER_10:  I don't know if it'll be funny.
